adc ax,ax|6611c0
adc rcx,[ebp]|6748134d00
adc rcx,[esp]|6748130c24
adc rcx,rax|4811c1
adc rcx,rbx|4811d9
adc rcx,rcx|4811c9
adc rcx,rsi|4811f1
adc rcx,rdi|4811f9
adc rcx,rbp|4811e9
adc rcx,rsp|4811e1
adc rcx,[rbx]|48130b
adc rcx,[rsi]|48130e
adc rcx,[rdi]|48130f
adc rcx,[rbp]|48134d00
adc rcx,[rsp]|48130c24
adc rsi,0x0|4883d600
adc rsi,[0x0]|4813342500000000
adc rsi,[ebx]|67481333
adc rsi,[esi]|67481336
adc rsi,[edi]|67481337
adc rsi,[ebp]|6748137500
adc rsi,[esp]|6748133424
adc rsi,rax|4811c6
adc rsi,rbx|4811de
adc rsi,rcx|4811ce
adc rsi,rsi|4811f6
adc rsi,rdi|4811fe
adc rsi,rbp|4811ee
adc rsi,rsp|4811e6
adc rsi,[rbx]|481333
adc rsi,[rsi]|481336
adc rsi,[rdi]|481337
adc rsi,[rbp]|48137500
adc rsi,[rsp]|48133424
adc rdi,0x0|4883d700
adc rdi,[0x0]|48133c2500000000
adc rdi,[ebx]|6748133b
adc rdi,[esi]|6748133e
adc rdi,[edi]|6748133f
adc rdi,[ebp]|6748137d00
adc rdi,[esp]|6748133c24
adc rdi,rax|4811c7
adc rdi,rbx|4811df
adc rdi,rcx|4811cf
adc rdi,rsi|4811f7
adc rdi,rdi|4811ff
adc rdi,rbp|4811ef
adc rdi,rsp|4811e7
adc rdi,[rbx]|48133b
adc rdi,[rsi]|48133e
adc rdi,[rdi]|48133f
adc rdi,[rbp]|48137d00
adc rdi,[rsp]|48133c24
adc rbp,0x0|4883d500
adc rbp,[0x0]|48132c2500000000
adc rbp,[ebx]|6748132b
adc rbp,[esi]|6748132e
adc rbp,[edi]|6748132f
adc rbp,[ebp]|6748136d00
adc rbp,[esp]|6748132c24
adc rbp,rax|4811c5
adc rbp,rbx|4811dd
adc rbp,rcx|4811cd
adc rbp,rsi|4811f5
adc rbp,rdi|4811fd
adc rbp,rbp|4811ed
adc rbp,rsp|4811e5
adc rbp,[rbx]|48132b
adc rbp,[rsi]|48132e
adc rbp,[rdi]|48132f
adc rbp,[rbp]|48136d00
adc rbp,[rsp]|48132c24
adc rsp,0x0|4883d400
adc rsp,[0x0]|4813242500000000
adc rsp,[ebx]|67481323
adc rsp,[esi]|67481326
adc rsp,[edi]|67481327
adc rsp,[ebp]|6748136500
adc rsp,[esp]|6748132424
adc rsp,rax|4811c4
adc rsp,rbx|4811dc
adc rsp,rcx|4811cc
adc rsp,rsi|4811f4
adc rsp,rdi|4811fc
adc rsp,rbp|4811ec
adc rsp,rsp|4811e4
adc rsp,[rbx]|481323
adc rsp,[rsi]|481326
adc rsp,[rdi]|481327
adc rsp,[rbp]|48136500
adc rsp,[rsp]|48132424
adc [rbx],ax|661103
adc [rbx],bx|66111b
adc [rbx],cx|66110b
adc [rbx],dx|661113
adc [rbx],si|661133
adc [rbx],di|66113b
adc [rbx],sp|661123
adc [rbx],bp|66112b
adc [rbx],ah|1023
adc [rbx],al|1003
adc [rbx],bh|103b
adc [rbx],bl|101b
adc [rbx],ch|102b
adc [rbx],cl|100b
adc [rbx],dh|1033
adc [rbx],dl|1013
adc [rbx],eax|1103
adc [rbx],ebx|111b
adc [rbx],ecx|110b
adc [rbx],esi|1133
adc [rbx],edi|113b
adc [rbx],ebp|112b
adc [rbx],esp|1123
adc [rbx],rax|481103
adc [rbx],rbx|48111b
adc [rbx],rcx|48110b
adc [rbx],rsi|481133
adc [rbx],rdi|48113b
adc [rbx],rbp|48112b
adc [rbx],rsp|481123
adc [rsi],ax|661106
adc [rsi],bx|66111e
adc [rsi],cx|66110e
adc [rsi],dx|661116
adc [rsi],si|661136
adc [rsi],di|66113e
adc [rsi],sp|661126
adc [rsi],bp|66112e
adc [rsi],ah|1026
adc [rsi],al|1006
adc [rsi],bh|103e
adc [rsi],bl|101e
adc [rsi],ch|102e
adc [rsi],cl|100e
adc [rsi],dh|1036
adc [rsi],dl|1016
adc [rsi],eax|1106
adc [rsi],ebx|111e
adc [rsi],ecx|110e
adc [rsi],esi|1136
adc [rsi],edi|113e
adc [rsi],ebp|112e
adc [rsi],esp|1126
adc [rsi],rax|481106
adc [rsi],rbx|48111e
adc [rsi],rcx|48110e
adc [rsi],rsi|481136
adc [rsi],rdi|48113e
adc [rsi],rbp|48112e
adc [rsi],rsp|481126
adc [rdi],ax|661107
adc [rdi],bx|66111f
adc [rdi],cx|66110f
adc [rdi],dx|661117
adc [rdi],si|661137
adc [rdi],di|66113f
adc [rdi],sp|661127
adc [rdi],bp|66112f
adc [rdi],ah|1027
adc [rdi],al|1007
adc [rdi],bh|103f
adc [rdi],bl|101f
adc [rdi],ch|102f
adc [rdi],cl|100f
adc [rdi],dh|1037
adc [rdi],dl|1017
adc [rdi],eax|1107
adc [rdi],ebx|111f
adc [rdi],ecx|110f
adc [rdi],esi|1137
adc [rdi],edi|113f
adc [rdi],ebp|112f
adc [rdi],esp|1127
adc [rdi],rax|481107
adc [rdi],rbx|48111f
adc [rdi],rcx|48110f
adc [rdi],rsi|481137
adc [rdi],rdi|48113f
adc [rdi],rbp|48112f
adc [rdi],rsp|481127
adc [rbp],ax|66114500
adc [rbp],bx|66115d00
adc [rbp],cx|66114d00
adc [rbp],dx|66115500
adc [rbp],si|66117500
adc [rbp],di|66117d00
adc [rbp],sp|66116500
adc [rbp],bp|66116d00
adc [rbp],ah|106500
adc [rbp],al|104500
adc [rbp],bh|107d00
adc [rbp],bl|105d00
adc [rbp],ch|106d00
adc [rbp],cl|104d00
adc [rbp],dh|107500
adc [rbp],dl|105500
adc [rbp],eax|114500
adc [rbp],ebx|115d00
adc [rbp],ecx|114d00
adc [rbp],esi|117500
adc [rbp],edi|117d00
adc [rbp],ebp|116d00
adc [rbp],esp|116500
adc [rbp],rax|48114500
adc [rbp],rbx|48115d00
adc [rbp],rcx|48114d00
adc [rbp],rsi|48117500
adc [rbp],rdi|48117d00
adc [rbp],rbp|48116d00
adc [rbp],rsp|48116500
adc [rsp],ax|66110424
adc [rsp],bx|66111c24
adc [rsp],cx|66110c24
adc [rsp],dx|66111424
adc [rsp],si|66113424
adc [rsp],di|66113c24
adc [rsp],sp|66112424
adc [rsp],bp|66112c24
adc [rsp],ah|102424
adc [rsp],al|100424
adc [rsp],bh|103c24
adc [rsp],bl|101c24
adc [rsp],ch|102c24
adc [rsp],cl|100c24
adc [rsp],dh|103424
adc [rsp],dl|101424
adc [rsp],eax|110424
adc [rsp],ebx|111c24
adc [rsp],ecx|110c24
adc [rsp],esi|113424
adc [rsp],edi|113c24
adc [rsp],ebp|112c24
adc [rsp],esp|112424
adc [rsp],rax|48110424
adc [rsp],rbx|48111c24
adc [rsp],rcx|48110c24
adc [rsp],rsi|48113424
adc [rsp],rdi|48113c24
adc [rsp],rbp|48112c24
adc [rsp],rsp|48112424
bsf ax,ax|660fbcc0
bsf ax,bx|660fbcc3
bsf ax,cx|660fbcc1
bsf ax,dx|660fbcc2
bsf ax,si|660fbcc6
bsf ax,di|660fbcc7
bsf ax,sp|660fbcc4
bsf ax,bp|660fbcc5
bsf ax,[0x0]|660fbc042500000000
bsf ax,[ebx]|66670fbc03
bsf ax,[esi]|66670fbc06
bsf ax,[edi]|66670fbc07
bsf ax,[ebp]|66670fbc4500
bsf ax,[esp]|66670fbc0424
bsf ax,[rbx]|660fbc03
bsf ax,[rsi]|660fbc06
bsf ax,[rdi]|660fbc07
bsf ax,[rbp]|660fbc4500
bsf ax,[rsp]|660fbc0424
bsf bx,ax|660fbcd8
bsf bx,bx|660fbcdb
bsf bx,cx|660fbcd9
bsf bx,dx|660fbcda
bsf bx,si|660fbcde
bsf bx,di|660fbcdf
bsf bx,sp|660fbcdc
bsf bx,bp|660fbcdd
bsf bx,[0x0]|660fbc1c2500000000
bsf bx,[ebx]|66670fbc1b
bsf bx,[esi]|66670fbc1e
bsf bx,[edi]|66670fbc1f
bsf bx,[ebp]|66670fbc5d00
bsf bx,[esp]|66670fbc1c24
bsf bx,[rbx]|660fbc1b
bsf bx,[rsi]|660fbc1e
bsf bx,[rdi]|660fbc1f
bsf bx,[rbp]|660fbc5d00
bsf bx,[rsp]|660fbc1c24
bsf cx,ax|660fbcc8
bsf cx,bx|660fbccb
bsf cx,cx|660fbcc9
bsf cx,dx|660fbcca
bsf cx,si|660fbcce
bsf cx,di|660fbccf
bsf cx,sp|660fbccc
bsf cx,bp|660fbccd
bsf cx,[0x0]|660fbc0c2500000000
bsf cx,[ebx]|66670fbc0b
bsf cx,[esi]|66670fbc0e
bsf cx,[edi]|66670fbc0f
bsf cx,[ebp]|66670fbc4d00
bsf cx,[esp]|66670fbc0c24
bsf cx,[rbx]|660fbc0b
bsf cx,[rsi]|660fbc0e
bsf cx,[rdi]|660fbc0f
